scenario_id,feeder_id,pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,base_pv_bus_voltage_pu,pv_pv_bus_voltage_pu,delta_pv_bus_voltage_pu,base_min_voltage_pu,base_max_voltage_pu,pv_min_voltage_pu,pv_max_voltage_pu,max_voltage_rise_pu,worst_voltage_bus,base_max_line_loading_pct,pv_max_line_loading_pct,base_max_transformer_loading_pct,pv_max_transformer_loading_pct,worst_line,worst_transformer,base_total_p_kw,pv_total_p_kw,delta_total_p_kw,base_total_q_kvar,pv_total_q_kvar,delta_total_q_kvar,base_losses_kw,pv_losses_kw,delta_losses_kw,reverse_power_flow,constraint_type,constraint_reason,label,base_min_voltage_bus,base_max_voltage_bus,pv_min_voltage_bus,pv_max_voltage_bus,delta_line_loading_pct,delta_transformer_loading_pct,existing_load_at_bus_kw,pv_bus_vn_kv,base_worst_line,base_worst_transformer,reverse_reason,converged
S01353,IEEE_CompTestFeeder,7693,14,193,207,0.9563,0.98485,0.02855,0.90661,1.00559,0.91537,1.00839,0.0028,702,8.73,8.1,92.72,112.93,OH-1 parallel with OH-2,T22,4158.86,3898.28,-260.57,1680.25,1559.27,-120.98,436.77,369.2,-67.57,1,transformer_loading,Transformer T22 loading 112.9% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.63,20.21,0,0.24,OH-1 parallel with OH-2,T7,trafo 7 reversed,True
S01354,IEEE_CompTestFeeder,7693,0,56,56,0.95408,0.96282,0.00874,0.90593,1.00536,0.90863,1.00625,0.00089,702,8.77,8.58,92.8,92.48,OH-1 parallel with OH-2,T1,4178.44,4100.69,-77.75,1690.21,1651.4,-38.81,442.35,420.61,-21.75,1,caution,reverse flow,CAUTION,734,702,734,702,-0.19,-0.33,0,0.24,OH-1 parallel with OH-2,T7,trafo 7 reversed,True
S01355,IEEE_CompTestFeeder,6222,5,186,191,0.99806,1.11264,0.11457,0.906,1.0054,0.90814,1.11264,0.10724,622,8.76,41.3,92.8,92.57,SEC-4,T7,4173.02,3993.38,-179.64,1688.9,1656.54,-32.36,441.93,448.29,6.36,1,voltage,Max voltage 1.1126 pu at bus 622 exceeds 1.05,CONSTRAINED,734,702,734,622,32.53,-0.23,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.061->-0.105 reversed,True
S01356,IEEE_CompTestFeeder,728,0,182,182,0.93707,0.97082,0.03375,0.90593,1.00536,0.91024,1.00675,0.00138,702,8.77,8.31,92.8,200.49,OH-1 parallel with OH-2,T3,4178.44,3973.81,-204.64,1690.21,1636.42,-53.79,442.35,419.72,-22.64,1,transformer_loading,Transformer T3 loading 200.5% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.46,107.69,38.0,0.24,OH-1 parallel with OH-2,T7,trafo 2 reversed,True
S01357,IEEE_CompTestFeeder,6211,15,95,110,1.00004,1.03316,0.03312,0.90615,1.00547,0.90742,1.03316,0.02769,621,8.74,25.61,92.78,92.64,SEC-4,T7,4162.21,4063.32,-98.89,1686.3,1664.89,-21.41,441.12,437.23,-3.89,1,caution,max 1.0332>1.03; rise 0.0331>=0.03; reverse flow,CAUTION,734,702,734,621,16.87,-0.14,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.051->-0.040 reversed,True
S01358,IEEE_CompTestFeeder,7393,0,246,246,0.98479,1.00491,0.02012,0.90593,1.00536,0.91468,1.00786,0.00249,702,8.77,8.08,92.8,136.52,OH-1 parallel with OH-2,T6,4178.44,3881.0,-297.44,1690.21,1587.83,-102.38,442.35,390.91,-51.44,1,transformer_loading,Transformer T6 loading 136.5% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.69,43.72,0,0.24,OH-1 parallel with OH-2,T7,line 25 0.117->-0.128 reversed,True
S01359,IEEE_CompTestFeeder,7691,0,221,221,0.95408,0.98679,0.03271,0.90593,1.00536,0.91596,1.00857,0.00321,702,8.77,8.05,92.8,122.12,OH-1 parallel with OH-2,T22,4178.44,3880.01,-298.43,1690.21,1551.58,-138.63,442.35,364.92,-77.43,1,transformer_loading,Transformer T22 loading 122.1% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.72,29.31,0,0.24,OH-1 parallel with OH-2,T7,trafo 7 reversed,True
S01360,IEEE_CompTestFeeder,6322,11,32,43,0.9219,0.9243,0.0024,0.90677,1.00548,0.90921,1.0058,0.00032,702,8.74,8.65,92.76,92.64,OH-1 parallel with OH-2,T7,4165.08,4126.35,-38.73,1685.48,1672.05,-13.43,439.99,433.27,-6.73,0,none,No violation,SAFE,734,702,734,702,-0.09,-0.12,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01361,IEEE_CompTestFeeder,623,0,18,18,0.99457,1.01284,0.01828,0.90593,1.00536,0.90618,1.01284,0.00748,623,8.77,8.73,92.8,92.78,OH-1 parallel with OH-2,T7,4178.44,4159.21,-19.23,1690.21,1685.68,-4.53,442.35,441.13,-1.23,0,none,No violation,SAFE,734,702,734,623,-0.04,-0.03,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01362,IEEE_CompTestFeeder,632,0,197,197,0.92107,0.93533,0.01426,0.90593,1.00536,0.92042,1.00724,0.00188,702,8.77,8.23,92.8,111.81,OH-1 parallel with OH-2,T4,4178.44,3942.97,-235.47,1690.21,1613.91,-76.3,442.35,403.88,-38.47,1,transformer_loading,Transformer T4 loading 111.8% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.54,19.0,0,0.24,OH-1 parallel with OH-2,T7,trafo 3 reversed,True
